"ACS";"SOC";"Label"
"HC01_EST_VC01";0;"Total active population"
"HC01_EST_VC04";11;"Management occupations"
"HC01_EST_VC05";13;"Business and financial operations occupations"
"HC01_EST_VC07";15;"Computer and mathematical occupations"
"HC01_EST_VC08";17;"Architecture and engineering occupations"
"HC01_EST_VC09";19;"Life, physical, and social science occupations"
"HC01_EST_VC11";21;"Community and social services occupations"
"HC01_EST_VC12";23;"Legal occupations"
"HC01_EST_VC13";25;"Education, training, and library occupations"
"HC01_EST_VC14";27;"Arts, design, entertainment, sports, and media occupations"
"HC01_EST_VC15";29;"Healthcare practitioner and technical occupations"
"HC01_EST_VC19";31;"Healthcare support occupations"
"HC01_EST_VC20";33;"Protective service occupations"
"HC01_EST_VC23";35;"Food preparation and serving related occupations"
"HC01_EST_VC24";37;"Building and grounds cleaning and maintenance occupations"
"HC01_EST_VC25";39;"Personal care and service occupations"
"HC01_EST_VC27";41;"Sales and related occupations"
"HC01_EST_VC28";43;"Office and administrative support occupations"
"HC01_EST_VC30";45;"Farming, fishing, and forestry occupations"
"HC01_EST_VC31";47;"Construction and extraction occupations"
"HC01_EST_VC32";49;"Installation, maintenance, and repair occupations"
"HC01_EST_VC34";51;"Production occupations"
"HC01_EST_VC35";53;"Transportation and material moving occupations"
"HC01_EST_VC36";53;"Transportation and material moving occupations"
